제목,정보제공,날짜,url,기업명,종목코드,종목명
[마켓인]해성티피씨 강세에…TS인베 보유 지분 '부각',이데일리,2021-04-22 14:11:00,https://finance.naver.com//item/news_read.nhn?article_id=0004908978&office_id=018&code=059270&page=1&sm=title_entity_id.basic,,059270,해성티피씨
"[특징주]해성티피씨, 상장 첫날 '따상'에 이어 이틀째 ‘강세’",이데일리,2021-04-22 09:26:00,https://finance.naver.com//item/news_read.nhn?article_id=0004908535&office_id=018&code=059270&page=1&sm=title_entity_id.basic,,059270,해성티피씨
"감속기 업체 해성티피씨, 상장 첫날 '따상' 성공",머니투데이,2021-04-21 16:47:00,https://finance.naver.com//item/news_read.nhn?article_id=0004576325&office_id=008&code=059270&page=1&sm=title_entity_id.basic,,059270,해성티피씨
"해성티피씨, 코스닥 상장 첫 날 20%대 강세",조선비즈,2021-04-21 10:16:00,https://finance.naver.com//item/news_read.nhn?article_id=0000704927&office_id=366&code=059270&page=1&sm=title_entity_id.basic,,059270,해성티피씨
"해성티피씨, 상장 첫날 장중 '따상' 성공…상승폭 일부 반납",한국경제,2021-04-21 10:02:00,https://finance.naver.com//item/news_read.nhn?article_id=0004533807&office_id=015&code=059270&page=1&sm=title_entity_id.basic,,059270,해성티피씨
"해성티피씨, 상장 첫날 강세…시초가 대비 22% 급등",머니투데이,2021-04-21 09:55:00,https://finance.naver.com//item/news_read.nhn?article_id=0004575995&office_id=008&code=059270&page=1&sm=title_entity_id.basic,,059270,해성티피씨
[특징주]해성티피씨 상장 첫 날 강세...시초가 대비 24% 껑충,서울경제,2021-04-21 09:38:00,https://finance.naver.com//item/news_read.nhn?article_id=0003900009&office_id=011&code=059270&page=1&sm=title_entity_id.basic,,059270,해성티피씨
"해성티피씨, 상장 첫날 강세…로봇용 감속기 국산화 선두주자",아시아경제,2021-04-21 09:23:00,https://finance.naver.com//item/news_read.nhn?article_id=0004888847&office_id=277&code=059270&page=1&sm=title_entity_id.basic,,059270,해성티피씨
"[특징주]해성티피씨, 상장 첫 날 '강세'…시초가, 공모가 2배",이데일리,2021-04-21 09:11:00,https://finance.naver.com//item/news_read.nhn?article_id=0004907523&office_id=018&code=059270&page=1&sm=title_entity_id.basic,,059270,해성티피씨
해성티피씨·이삭엔지니어링 코스닥 동반 상장 후 20%대 강세...나란히...,파이낸셜뉴스,2021-04-21 10:35:00,https://finance.naver.com//item/news_read.nhn?article_id=0004624690&office_id=014&code=059270&page=1&sm=title_entity_id.basic,,059270,해성티피씨
